index,term,polarity,termFrom,termTo,context
43,sushi,1,118,123,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action."
44,sushi bar,1,146,155,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action."
45,fried rice,2,4,14,The fried rice is amazing here.
46,puff pastry goat cheese,2,51,74,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world."
47,salad with a delicious dressing,2,79,110,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world."
48,hanger steak au poivre,2,118,140,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world."
49,indian food,2,40,51,it's a perfect place to have a amanzing indian food.
50,place,2,4,9,The place is so cool and the service is prompt and curtious.
51,broth with noodles,2,35,53,At the end you're left with a mild broth with noodles that you can slurp out of a cup.
52,meal,2,48,52,I just wonder how you can have such a delicious meal for such little money.
53,wine list,2,4,13,The wine list is excellent.
54,Thai food,2,84,93,"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course)."
55,glass of wine,1,35,48,They wouldnt even let me finish my glass of wine before offering another.
56,specials,1,75,83,"Whem asked, we had to ask more detailed questions so that we knew what the specials were."
57,lunch,1,47,52,This is a consistently great place to dine for lunch or dinner.
58,dinner,1,56,62,This is a consistently great place to dine for lunch or dinner.
59,dine,2,38,42,This is a consistently great place to dine for lunch or dinner.
60,atmosphere,2,5,15,"Nice atmosphere, the service was very pleasant and the desert was good."
61,service,2,21,28,"Nice atmosphere, the service was very pleasant and the desert was good."
62,desert,2,55,61,"Nice atmosphere, the service was very pleasant and the desert was good."
63,bar,2,39,42,After really enjoying ourselves at the bar we sat down at a table and had dinner.
64,table,1,60,65,After really enjoying ourselves at the bar we sat down at a table and had dinner.
65,dinner,1,74,80,After really enjoying ourselves at the bar we sat down at a table and had dinner.
66,food,2,28,32,"Fabulous service, fantastic food, and a chilled out atmosphere and environment."
67,atmosphere,2,52,62,"Fabulous service, fantastic food, and a chilled out atmosphere and environment."
68,environment,2,67,78,"Fabulous service, fantastic food, and a chilled out atmosphere and environment."
69,beer selection,2,12,26,I liked the beer selection!
70,food,2,6,10,"Great food, good size menu, great service and an unpretensious setting."
71,menu,2,22,26,"Great food, good size menu, great service and an unpretensious setting."
72,service,2,34,41,"Great food, good size menu, great service and an unpretensious setting."
73,setting,2,63,70,"Great food, good size menu, great service and an unpretensious setting."
74,dinner,2,23,29,Go here for a romantic dinner but not for an all out wow dining experience.
75,dining,2,57,63,Go here for a romantic dinner but not for an all out wow dining experience.
76,Dosa,1,17,21,I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.
77,Wine list selection,2,0,19,Wine list selection is good and wine-by-the-glass was generously filled to the top.
78,wine-by-the-glass,2,32,49,Wine list selection is good and wine-by-the-glass was generously filled to the top.
79,menu,0,4,8,The menu is very limited - i think we counted 4 or 5 entrees.
80,entrees,0,53,60,The menu is very limited - i think we counted 4 or 5 entrees.
81,menu,0,4,8,The menu is limited but almost all of the dishes are excellent.
82,dishes,2,42,48,The menu is limited but almost all of the dishes are excellent.
83,sake martini,0,26,38,Not too crazy about their sake martini.
84,bagels,2,6,12,"Great bagels, spreads and a good place to hang out in."
85,spreads,2,14,21,"Great bagels, spreads and a good place to hang out in."
86,table,1,90,95,One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.
87,food,2,19,23,"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits."
88,meal,2,27,31,We always have a delicious meal and always leave feeling satisfied.
89,ingredients,1,8,19,"Dip the ingredients in with your chopsticks, swirl them around, and eat."
90,pizza,2,4,9,The pizza was pretty good and huge.
91,cuisine,1,4,11,"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei."
92,atmosphere,2,50,60,I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.
93,service,2,86,93,They are often crowded on the weekends but they are efficient and accurate with their service.
94,dish,0,47,51,All my co-workers were amazed at how small the dish was.
95,atmosphere,2,4,14,"The atmosphere is unheralded, the service impecible, and the food magnificant."
96,service,2,34,41,"The atmosphere is unheralded, the service impecible, and the food magnificant."
97,food,2,61,65,"The atmosphere is unheralded, the service impecible, and the food magnificant."
98,grilled branzino,0,24,40,"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat."
99,food,2,36,40,"The wait staff is friendly, and the food has gotten better and better!"
100,French food,2,76,87,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area."
101,packed,0,16,22,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area."
102,pizza,2,64,69,Right off the L in Brooklyn this is a nice cozy place with good pizza.
103,place,2,48,53,Right off the L in Brooklyn this is a nice cozy place with good pizza.
104,pre-theater menu,2,25,41,Le Pere Pinard has a $15 pre-theater menu that is outstanding.
105,delivery,0,19,27,I also ordered for delivery and the restaurant forgot half the order.
106,order,0,63,68,I also ordered for delivery and the restaurant forgot half the order.
107,meal,1,55,59,Our server checked on us maybe twice during the entire meal.
108,scents,0,11,17,The strong scents coming from the left and right of me negatively affected my taste buds.
109,lobster sandwich,2,11,27,We had the lobster sandwich and it was FANTASTIC.
110,check,0,143,148,"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!"
111,shell crab,2,67,77,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them."
112,reservations,1,21,33,"I have tried to make reservations, but both times, the hostess didn't have my name."
113,hostess,0,55,62,"I have tried to make reservations, but both times, the hostess didn't have my name."
114,rice dishes,2,21,32,I also recommend the rice dishes or the different varieties of congee (rice porridge).
115,congee (rice porridge),2,63,85,I also recommend the rice dishes or the different varieties of congee (rice porridge).
116,tuna tartar appetizer,2,6,27,Their tuna tartar appetizer is to die for.
117,chef,2,114,118,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups."
118,fish dishes,2,186,197,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups."
119,soups,2,202,207,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups."
120,kitchen,2,134,141,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups."
121,cuisine,2,104,111,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups."
122,wine,2,12,16,"If you love wine and cheese and delicious french fare, you'll love Artisanal!"
123,french fare,2,42,53,"If you love wine and cheese and delicious french fare, you'll love Artisanal!"
124,cheese,2,21,27,"If you love wine and cheese and delicious french fare, you'll love Artisanal!"
125,Indian food,2,7,18,I love Indian food and consider myself to be quite an expert on it.
126,baby pizzas,1,5,16,Some baby pizzas get their wish.
127,lava cake dessert,2,4,21,The lava cake dessert was incredible and I recommend it.
128,baby pizzas,1,11,22,VT is what baby pizzas hope to be when they grow up.
129,service,0,18,25,"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible."
130,food,0,40,44,"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible."
131,food,2,80,84,Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.
132,table,0,41,46,The last time I went we were seated at a table in a corridor next to the kitchen.
133,selection of wines,2,5,23,good selection of wines ranging from affordable to high end.
134,Italian decor,2,46,59,"Nice restaurant overall, with classic upscale Italian decor."
135,food,0,23,27,Not impressed with the food.
136,dining experience,2,11,28,The entire dining experience was wonderful!
137,wine selection,2,4,18,The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.
138,reservation,1,101,112,The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.
139,maitre,2,91,97,Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.
140,reservation,0,71,82,Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.
141,panang duck,2,10,21,"Order the panang duck, it's fantastic."
142,raw vegatables,0,76,90,"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders."
143,service,0,22,29,"Other than the crappy service from two individuals, it's great."
144,Indian,2,20,26,They have authentic Indian at amazin prices.
145,prices,2,37,43,They have authentic Indian at amazin prices.
146,Ambiance,2,0,8,Ambiance- relaxed and stylish.
147,BBQ Salmon,2,30,40,"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck."
148,Sea Bass,2,42,50,"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck."
149,Crispy Duck,2,55,66,"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck."
150,ingredients,2,20,31,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right."
151,ingredients,2,48,59,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right."
152,pizza,0,80,85,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right."
153,crust,1,122,127,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right."
154,kababs,2,54,60,and yes Dal Bukhara is so dam good and so are all the kababs.
155,Dal Bukhara,2,8,19,and yes Dal Bukhara is so dam good and so are all the kababs.
156,eating,2,18,24,I look forward to eating here again
157,taste,2,62,67,I've been coming here as a child and always come back for the taste.
158,meal,2,99,103,Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.
159,price,2,114,119,Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.
160,mussels,2,56,63,"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy."
161,Food,1,0,4,"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene."
162,creme brulee,0,21,33,"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene."
163,sugar,0,50,55,"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene."
164,food,2,4,8,The food always tastes fresh and served promptly.
165,served,2,33,39,The food always tastes fresh and served promptly.
166,pizza,2,4,9,The pizza here is delicious.
167,Pizza,2,0,5,"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!"
168,delivery,2,80,88,"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!"
169,garlic knots,2,10,22,"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!"
170,chinese food,2,10,22,"For great chinese food nearby, you have Wu Liang Ye and Grand Sichuan just a block away."
171,service,1,40,47,But who says Murray's is anything about service.
172,food,0,104,108,"This place is really trendi but they have forgotten about the most important part of a  restaurant, the food."
173,chef,2,16,20,Hats off to the chef.
174,Service,0,0,7,"Service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience."
175,teapot,2,138,144,"Service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience."
176,pizza,2,4,9,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's."
177,fresh mozzarella,2,34,50,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's."
178,cheese,0,90,96,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's."
179,place,2,17,22,Its an excellent place to relax and the food is one of the best in the city of New York.
180,food,2,40,44,Its an excellent place to relax and the food is one of the best in the city of New York.
181,service,2,0,7,"service is friendly, and never had a problem walking in and getting a table."
182,getting a table,2,60,75,"service is friendly, and never had a problem walking in and getting a table."
183,bistro-type vibe,2,46,62,The atmosphere was crowded but it was a great bistro-type vibe.
184,waitress,0,15,23,"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong."
185,tables,1,101,107,"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong."
186,food,0,4,8,The food was bland oily.
187,prices,2,33,39,"What is even better, is that the prices are very affordable as well, and the food is really good."
188,food,2,77,81,"What is even better, is that the prices are very affordable as well, and the food is really good."
189,fish,2,4,8,The fish is fresh but the variety of fish is nothing out of ordinary.
190,variety of fish,0,26,41,The fish is fresh but the variety of fish is nothing out of ordinary.
191,pesto pizza,2,23,34,"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine."
192,house salad,2,40,51,"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine."
193,bottle of wine,2,64,78,"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine."
194,meal,2,13,17,"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine."
195,bartender,2,44,53,"And Kruno, the beverage manager is the best bartender I have yet to come across."
196,beverage manager,2,15,31,"And Kruno, the beverage manager is the best bartender I have yet to come across."
197,Ambiance,2,0,8,"Ambiance and music funky, which I enjoy."
198,music,2,13,18,"Ambiance and music funky, which I enjoy."
199,food,2,4,8,"The food, drinks and service are clearly among the best in the city."
200,drinks,2,10,16,"The food, drinks and service are clearly among the best in the city."
201,service,2,21,28,"The food, drinks and service are clearly among the best in the city."
202,food,1,50,54,I went there in late afternoon for some bite size food and refleshment with my date.
203,ambiance,2,82,90,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance."
204,service,2,108,115,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance."
205,foods,2,217,222,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance."
206,tastes,2,228,234,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance."
207,sommlier,2,128,136,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance."
208,back waiters,2,175,187,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance."
209,waitress,0,27,35,"Last time I went here, the waitress didn't come back after taking our order."
210,tandoori salmon,2,8,23,Try the tandoori salmon!
211,atmosphere,2,15,25,"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience."
212,space,0,12,17,"Granted the space is smaller than most, it is the best service you will find in even the largest of restaurants."
213,service,2,55,62,"Granted the space is smaller than most, it is the best service you will find in even the largest of restaurants."
214,atmorphere,2,11,21,I love the atmorphere @ peep!
215,service,2,4,11,The service was attentive and her suggestions of menu items was right on the mark.
216,menu items,2,49,59,The service was attentive and her suggestions of menu items was right on the mark.
217,three course meal,2,31,48,The other night we had the $30 three course meal and everything was delicious - if I could of licked the plate clean I would of.
218,Pizza,2,202,207,"Even after getting pushed out by the no-class Famous Ray's, Sal has risen again to carry on his father's uncle's legacies with a smile, true love for his community, and let's not forget the Outstanding Pizza!"
219,environment,2,4,15,"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could."
220,food,0,37,41,"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could."
221,service,0,59,66,"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could."
222,crawfish boiled,2,7,22,"We had crawfish boiled and despite making a mess, it was a ton of fun and quite tasty as well."
223,reservation,1,55,66,I had very high expectations for this place and made a reservation a couple of months in advance for a special occasion.
224,table,1,17,22,What came to our table was burned beyond recognition and stringy.
225,Pad Thai,0,10,18,I had the Pad Thai and the noodles were sticky.
226,noodles,0,27,34,I had the Pad Thai and the noodles were sticky.
227,delivered,1,57,66,"So I've never actually been to M proper, but I've had it delivered a few times."
228,values for your money,2,80,101,"Among all of the new 5th avenue restaurants, this offers by far one of the best values for your money."
229,lunch,2,53,58,"Frankly, when you compare what you can have here for lunch, versus McDs or so many other sandwich shops in the city, there is no comparison."
230,hostess,0,4,11,The hostess is rude to the point of being offensive.
231,food,2,35,39,"If you're craving for Haru's great food, especially the House Roll, but can't stand the wait building outisde, head across the street to their Sake Bar!"
232,wait building,0,88,101,"If you're craving for Haru's great food, especially the House Roll, but can't stand the wait building outisde, head across the street to their Sake Bar!"
233,corridor,0,9,17,"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees."
234,space,0,34,39,"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees."
235,counter,0,148,155,"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees."
236,food,2,4,8,The food is great.
237,steaks,2,10,16,Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.
238,salads,2,76,82,Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.
239,sides,2,87,92,Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.
240,Lunch,2,0,5,"Lunch came with pickels and slaw, no extra charge."
241,wine,2,7,11,Decent wine at reasonable prices.
242,prices,2,26,32,Decent wine at reasonable prices.
243,delivered,2,17,26,All conveniently delivered right to the door.
244,wine by the glass,2,9,26,even the wine by the glass was good.
245,dish,2,5,9,This dish is my favorite and I always get it when I go there and never get tired of it.
246,Change Mojito,2,19,32,"I also ordered the Change Mojito, which was out of this world."
247,service,1,5,12,Okay service.
248,service,2,74,81,The only thing more wonderful than the food (which is exceptional) is the service.
249,food,0,4,8,"The food was just awful, ATROCIOUS actually."
250,soy sauce,1,26,35,The soup for the udon was soy sauce and water.
251,water,1,40,45,The soup for the udon was soy sauce and water.
252,anti-pasta,2,4,14,"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains."
253,calamari,2,45,53,"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains."
254,filling pasta mains,2,67,86,"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains."
255,waitress,2,4,12,The waitress suggested glasses of wine that went very well with the food.
256,glasses of wine,2,23,38,The waitress suggested glasses of wine that went very well with the food.
257,food,2,78,82,"They might be all business at the counter when you give your order, but their food says I love you."
258,counter,0,34,41,"They might be all business at the counter when you give your order, but their food says I love you."
259,sushi,2,29,34,"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura."
260,ceviche mix (special),2,90,111,"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura."
261,crab dumplings,2,113,127,"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura."
262,assorted sashimi,2,129,145,"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura."
263,sushi,2,147,152,"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura."
264,rolls,2,157,162,"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura."
265,banana tempura,2,191,205,"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura."
266,plain pizza,2,10,21,Try their plain pizza with fresh garlic or eggplant.
267,garlic,2,33,39,Try their plain pizza with fresh garlic or eggplant.
268,eggplant,2,43,51,Try their plain pizza with fresh garlic or eggplant.
269,getting a table,0,10,25,Good luck getting a table.
270,service,0,4,11,The service is awful.
271,takeout menu,2,4,16,"The takeout menu says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!"
272,menu,2,57,61,"The takeout menu says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!"
273,italian dishes,2,76,90,"The takeout menu says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!"
274,Thai food,1,54,63,"I am not the most experienced person when it comes to Thai food, but my friend who took me there is."
275,hostess,2,82,89,Regardless of whether there are two people or two hundred people ahead of you the hostess will take your name and tell you Five minutes.
276,bottles of wine,2,0,15,bottles of wine are cheap and good.
277,beers,2,28,33,"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini."
278,food,2,98,102,"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini."
279,pumkin tortelini,2,160,176,"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini."
280,dish,2,140,144,"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini."
281,dinner special,0,24,38,They didn't give us the dinner special until we asked for it.
282,chocolate bread pudding,2,70,93,You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert.
283,dessert,2,98,105,You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert.
284,pasta dishes,2,30,42,"word of advice, save room for pasta dishes and never leave until you've had the tiramisu."
285,tiramisu,2,80,88,"word of advice, save room for pasta dishes and never leave until you've had the tiramisu."
286,prices,2,32,38,Very good service and very good prices.
287,lunch,1,60,65,I recently went to this restaurant with some co-workers for lunch and had an amazing time.
288,staff,2,50,55,"The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs."
289,menu,1,105,109,"The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs."
290,meal,1,124,128,"The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs."
291,bagel,2,63,68,Ess-A-Bagel (either by Sty-town or midtown) is by far the best bagel in NY.
292,food,2,4,8,Our food was great too!
293,servers,0,54,61,"The most annoying thing, though, is the fact that the servers seem to be trained to drive revenue."
294,food,1,9,13,"Get your food to go, find a bench, and kick back with a plate of dumplings."
295,Filet Mignon,2,15,27,"Please try the Filet Mignon, its just the most tender piece ever."
296,sangria,1,52,59,"We were still sitting at the bar while we drank the sangria, but facing away from the bar when we turned back around, the $2 was gone the people next to us said the bartender took it."
297,bar,1,29,32,"We were still sitting at the bar while we drank the sangria, but facing away from the bar when we turned back around, the $2 was gone the people next to us said the bartender took it."
298,bartender,0,165,174,"We were still sitting at the bar while we drank the sangria, but facing away from the bar when we turned back around, the $2 was gone the people next to us said the bartender took it."
299,sake menu,2,4,13,The sake menu should not be overlooked!
300,drinks,2,4,10,the drinks are amazing and half off till 8pm.
301,service,2,4,11,"The service, wine selection, ambiance are all outstanding and deserve recognition."
302,wine selection,2,13,27,"The service, wine selection, ambiance are all outstanding and deserve recognition."
303,ambiance,2,29,37,"The service, wine selection, ambiance are all outstanding and deserve recognition."
